time,blood_volume_L,extracellular_fluid_volume,mean_arterial_pressure_MAP,glomerular_pressure,GFR_ml_min,albumin_excretion_rate,plasma_renin_activity,dailyUGE,dailyNaExcretion,dailyWaterExcretion,i
Inf,0.01905379,-0.072132033,0.021245037,0.023977841,0.054495788,0.67556455,-0.000898926,Inf,Inf,Inf,0
Inf,-0.068550489,-0.135588907,-0.082528875,-0.082302814,-0.226857915,-0.804647964,0.00442485,Inf,Inf,Inf,0
Inf,-0.077048264,-0.235039751,-0.087035762,-0.08682883,-0.181962236,-0.453847638,0.001709173,Inf,Inf,Inf,0
Inf,-0.033345807,-0.13677794,-0.038066003,-0.04118572,-0.105304072,-0.30436846,0.001855192,Inf,Inf,Inf,0
Inf,-0.013628744,-0.140871246,-0.017127783,-0.016258108,-0.060884398,-0.382741027,0.001509651,Inf,Inf,Inf,0
Inf,-0.113596344,-0.026862329,-0.133829873,-0.146351031,-0.374831445,-0.896518174,0.000926367,Inf,Inf,Inf,0
Inf,-0.082196707,-0.120631621,-0.096732096,-0.102894782,-0.293591002,-0.943169941,-0.200482941,Inf,Inf,Inf,0
Inf,-0.012952435,-0.129273447,-0.01595642,-0.015162785,-0.047804805,-0.186454512,0.0003751,Inf,Inf,Inf,0
Inf,-0.038386843,-0.211777364,-0.043280814,-0.04091979,-0.09566237,-0.188026838,-0.054062693,Inf,Inf,Inf,0
Inf,-0.019180768,-0.156091519,-0.024062749,-0.022981079,-0.085730897,-0.860929702,0.004721135,Inf,Inf,Inf,0
Inf,-0.070082487,-0.196381271,-0.082443418,-0.084352146,-0.215548974,-0.73853783,0.000690779,Inf,Inf,Inf,0
Inf,-0.027646911,-0.213755171,-0.034653569,-0.033109575,-0.113605112,-0.812325317,0.008821767,Inf,Inf,Inf,0
Inf,-0.034133937,-0.155725515,-0.041421218,-0.041816561,-0.121690996,-0.597166305,0.002026477,Inf,Inf,Inf,0
Inf,-0.091719462,-0.064872819,-0.106802313,-0.115841374,-0.27163498,-0.782649735,-0.035473898,Inf,Inf,Inf,0
Inf,-0.015182985,-0.096335139,-0.018043111,-0.01845803,-0.051994146,-0.138179741,0.001036304,Inf,Inf,Inf,0
Inf,-0.1006515,-0.123771446,-0.116541743,-0.133951162,-0.328584681,-0.946426958,-0.254920945,Inf,Inf,Inf,0
Inf,-0.014783542,-0.137419647,-0.018144077,-0.017591904,-0.054981742,-0.287876201,0.000472742,Inf,Inf,Inf,0
Inf,-0.009401599,-0.125736712,-0.012336464,-0.011044986,-0.05067752,0,0.003880877,Inf,Inf,Inf,0
Inf,-0.069575672,-0.186965638,-0.083379137,-0.082044082,-0.227451663,-0.707903416,0.004554016,Inf,Inf,Inf,0
Inf,-0.091876368,-0.089165554,-0.109677065,-0.114927844,-0.314826878,-0.884354145,-0.125995956,Inf,Inf,Inf,0
Inf,-0.085640224,-0.175441058,-0.10108469,-0.123068813,-0.365393719,-0.8603854,-0.245283166,Inf,Inf,Inf,0
Inf,-0.058855554,-0.158216188,-0.073003115,-0.070850709,-0.225127148,-0.569531991,-0.071204875,Inf,Inf,Inf,0
Inf,-0.04919361,-0.233964551,-0.060066293,-0.058720574,-0.185954081,-0.986671907,0.007526091,Inf,Inf,Inf,0
Inf,-0.015252394,-0.123282166,-0.019410663,-0.018368926,-0.07060283,-0.672203912,0.004454322,Inf,Inf,Inf,0
Inf,-0.113052033,-0.104394457,-0.134180882,-0.13626918,-0.369079203,-0.992675263,0.037708359,Inf,Inf,Inf,0
Inf,-0.031895047,-0.195062463,-0.037703505,-0.038402956,-0.105863666,-0.41248627,0.001099565,Inf,Inf,Inf,0
Inf,-0.067533832,-0.13264272,-0.081108363,-0.081683551,-0.244308274,-0.794722535,-0.084549997,Inf,Inf,Inf,0
Inf,-0.079623443,-0.111802551,-0.097640945,-0.097229408,-0.282985245,-0.992941371,-0.038878389,Inf,Inf,Inf,0
Inf,-0.043123242,-0.222963161,-0.050512655,-0.04923823,-0.133079932,-0.54392855,-0.003736145,Inf,Inf,Inf,0
Inf,-0.03741469,-0.185631915,-0.043358844,-0.044432561,-0.107892283,-0.294401522,0.00138833,Inf,Inf,Inf,0
Inf,0.010916077,-0.074071256,0.013018902,0.014428359,0.048515232,0,-0.004781028,Inf,Inf,Inf,0
Inf,-0.090744895,-0.131996129,-0.107408191,-0.1083803,-0.307861081,-0.800808824,-0.183483375,Inf,Inf,Inf,0
Inf,-0.02322065,-0.175009377,-0.027756517,-0.027086818,-0.080125854,-0.412452666,0.000601446,Inf,Inf,Inf,0
Inf,-0.113640839,-0.060010098,-0.133945337,-0.140753691,-0.358758311,-0.824524028,0.010583624,Inf,Inf,Inf,0
Inf,0.000256913,-0.091006297,-0.001042369,-0.000798047,-0.00958634,-0.01140494,0.000192874,Inf,Inf,Inf,0
Inf,-0.030942929,-0.153001947,-0.039393694,-0.035302731,-0.144162276,-0.791226329,-0.054653468,Inf,Inf,Inf,0
Inf,-0.060990222,-0.163405187,-0.066811884,-0.064986463,-0.122563577,-0.171106683,0.005442531,Inf,Inf,Inf,0
Inf,-0.025570785,-0.15990873,-0.030062881,-0.030642144,-0.089850114,-0.366950021,0.000980205,Inf,Inf,Inf,0
Inf,-0.039522862,-0.217115166,-0.049449471,-0.046522344,-0.172912007,-0.962205377,0.012297951,Inf,Inf,Inf,0
Inf,-0.060617324,-0.182839603,-0.07379451,-0.07425651,-0.230221968,-0.753007349,0.007767161,Inf,Inf,Inf,0
Inf,-0.016956623,-0.170070507,-0.020009467,-0.017107353,-0.053397421,-0.177688719,-0.042982271,Inf,Inf,Inf,0
Inf,-0.050769455,-0.210077744,-0.063285464,-0.063500816,-0.205625311,-0.633807159,0.018388381,Inf,Inf,Inf,0
